"o","labelOO"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20056","Sede di Direzione Generale Archeologia, Belle Arti e Paesaggio"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20155","Sede di Antiquarium e Parco archeologico di Castelseprio"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20217","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20228","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20311","Sede di Musei Reali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20356","Sede di Gallerie Nazionali di Palazzo Spinola"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20454","Sede di Museo nazionale di Villa Pisani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20456","Sede di Museo nazionale di Villa Pisani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20494","Sede di Archivio di Stato di Reggio Emilia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20495","Sede di Museo di Casa Vasari"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20496","Sede di Museo nazionale di San Matteo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20499","Sede di Biblioteca Nazionale di Potenza"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20509","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20510","Sede di Archivio di Stato di Vercelli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20511","Sede di Anfiteatro campano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20556","Sede di Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20605","Sede di Archivio di Stato di Trento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20619","Sede di Gallerie estensi - Biblioteca estense universitaria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20626","Sede di Biblioteca nazionale di Napoli ""Vittorio Emanuele III"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20639","Sede di Museo civico di Bassano del Grappa"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20649","Sede di Gallerie dell'Accademia di Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20695","Sede di Museo nazionale archeologico della Sibaritide"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20703","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20074","Sede di Museo di Casa Vasari"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20128","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la città metropolitana di Reggio Calabria e la provincia di Vibo Valentia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20129","Sede di Archivio di Stato di Salerno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20202","Sede di Castel del Monte"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20298","Sede di Soprintendenza Archivistica della Sardegna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20299","Sede di Museo archeologico nazionale di Napoli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20301","Sede di Soprintendenza Nazionale per Il Patrimonio Culturale Subacqueo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20304","Sede di Direzione Regionale Musei Liguria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20316","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20351","Sede di Museo nazionale romano - Terme di Diocleziano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20367","Sede di Museo nazionale di Ravenna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20392","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino"
