,topic,lat,long
147,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100031,42.04816,13.92503
148,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100032,42.048107,13.925796
149,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100033,42.057117,13.278472
150,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100034,41.935276,13.838085
151,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100035,41.866604,13.626614
152,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100036,41.776493,13.926615
153,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100037,41.774117,13.944522
154,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100039,42.305862,14.182742
155,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100040,42.29569,14.302502
156,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100041,42.30904,14.062371
157,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100043,41.86724,14.451519
158,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100044,42.350086,14.167604
159,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100045,42.35179,14.167151
160,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100046,42.289978,14.323218
161,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100047,42.29696,14.326282
162,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100048,42.09037,14.205687
163,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100049,42.421524,14.287307
164,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100051,42.189816,14.219946
165,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100052,42.043514,14.188231
166,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100053,42.233173,14.391378
167,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100054,42.229504,14.386687
168,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100055,42.23164,14.388861
169,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100056,42.089718,14.652195
170,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100057,42.353237,14.403678
171,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100058,42.35691,14.404914
172,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100060,41.984074,14.138778
173,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100061,41.984074,14.138778
174,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100062,41.939434,14.581582
175,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100063,42.21479,14.188583
176,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100065,42.05058,14.731499
177,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100066,42.16795,14.330805
178,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100068,42.111843,14.70951
179,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100070,42.51924,14.060166
180,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100071,42.517273,14.05918
181,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100074,42.456,13.927105
182,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100075,42.461483,14.216434
183,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100076,42.471607,14.212878
184,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100077,42.461647,14.212355
185,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100078,42.47151,14.20713
186,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100079,42.476116,13.991923
187,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100081,42.2139,14.024226
188,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100082,42.32248,14.046214
189,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100086,42.580597,13.975798
190,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100087,42.580597,13.975798
191,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100088,42.5802,13.981002
192,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100089,42.580597,13.975798
193,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100090,42.580597,13.975798
194,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100091,42.484573,13.711761
195,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100092,42.484573,13.711761
196,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100093,42.773052,13.676165
197,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100097,42.757244,13.952749
198,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100098,42.753815,13.966505
199,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100099,42.75255,13.962371
200,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100100,42.753815,13.966505
201,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100101,42.501286,13.661188
202,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100102,42.66392,13.919568
203,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100103,42.743538,13.888583
204,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100104,42.658226,13.894705
205,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100105,42.67227,14.018385
206,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100106,42.67763,13.988134
207,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100107,42.659485,13.701311
208,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100109,42.66172,13.69735
209,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100111,42.6555,13.655149
210,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100113,42.54658,13.647991
