"p","predicate"
"https://w3id.org/italia/onto/CLV/hasNumber",10590
"https://w3id.org/arco/ontology/context-description/framework",10302
"https://w3id.org/arco/ontology/denotative-description/storageConditions",9973
"https://w3id.org/arco/ontology/context-description/hasMint",9846
"https://w3id.org/arco/ontology/context-description/isPrintingPlateMemberOf",9814
"https://w3id.org/arco/ontology/context-description/isMemberOfPrintingPlatesSeriesOf",9814
"https://w3id.org/arco/ontology/catalogue/hasDigitalTranscriptionResponsibleAgent",9719
"https://w3id.org/arco/ontology/construction-description/isFoundationOf",9302
"https://w3id.org/arco/ontology/immovable-property/isFoundationOf",9245
"https://w3id.org/arco/ontology/context-description/pageOrTableNumber",9129
"https://w3id.org/arco/ontology/location/hasFindingStratum",8395
"https://w3id.org/arco/ontology/location/hasGeologicalContex",8395
"https://w3id.org/arco/ontology/location/hasStratum",8394
"https://w3id.org/arco/ontology/context-description/hasProfession",8034
"http://www.geonames.org/ontology#parentCountry",8031
"http://www.geonames.org/ontology#parentADM1",8011
"http://www.geonames.org/ontology#parentADM2",7904
