,p,predicate
278,https://w3id.org/arco/ontology/construction-description/hasLayout,42099
279,https://w3id.org/arco/ontology/context-description/abbreviation,42032
280,https://w3id.org/arco/ontology/immovable-property/hasLayout,41952
281,https://w3id.org/arco/ontology/context-description/isMemberOfCollectionOf,40613
282,https://w3id.org/arco/ontology/context-description/hasMemberOfCollection,40511
283,https://w3id.org/italia/onto/POT/hasTicket,40332
284,http://dati.beniculturali.it/cis/institutionalCISName,39410
285,https://w3id.org/arco/ontology/core/hasIdentificationInTime,38880
286,https://w3id.org/arco/ontology/natural-specimen-description/isClassifiedByCurrentTaxon,38871
287,https://w3id.org/arco/ontology/catalogue/hasUpdateScientificRevisor,38697
288,https://w3id.org/italia/onto/SM/hasTelephoneType,38539
289,https://w3id.org/arco/ontology/context-description/hasEligibleIntervention,38145
290,https://w3id.org/arco/ontology/context-description/hasScale,38141
291,https://w3id.org/arco/ontology/catalogue/recoveredData,37964
292,https://w3id.org/arco/ontology/context-description/relatedWorkNote,37817
293,https://w3id.org/arco/ontology/movable-property/hasChemicalFormula,36561
294,https://w3id.org/arco/ontology/natural-specimen-description/hasChemicalFormula,36561
295,https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyAvailability,36108
296,https://w3id.org/italia/onto/POT/includes,35461
297,https://w3id.org/italia/onto/POT/hasPriceSpecification,35461
298,https://w3id.org/italia/onto/POT/hasCurrency,35461
299,https://w3id.org/italia/onto/POT/hasCurrencyValue,35461
300,https://w3id.org/arco/ontology/movable-property/hasUnitCell,35316
301,https://w3id.org/arco/ontology/natural-specimen-description/hasUnitCell,35316
302,https://w3id.org/arco/ontology/movable-property/hasSpaceGroup,35183
303,https://w3id.org/arco/ontology/natural-specimen-description/hasSpaceGroup,35183
304,https://w3id.org/arco/ontology/movable-property/hasCrystalSystem,35114
305,https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalSystem,35114
306,https://w3id.org/arco/ontology/movable-property/hasPointGroup,34981
307,https://w3id.org/arco/ontology/movable-property/hasCrystalClass,34981
308,https://w3id.org/arco/ontology/natural-specimen-description/hasPointGroup,34981
309,https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalClass,34981
310,https://w3id.org/arco/ontology/context-description/noticeDate,33624
311,https://w3id.org/arco/ontology/context-description/activityPlaceAndPeriod,32903
312,http://www.w3.org/2002/07/owl#versionInfo,32552
313,https://w3id.org/arco/ontology/context-description/isReusedBy,32425
314,https://w3id.org/arco/ontology/location/hasTypeOfContext,32146
315,https://w3id.org/arco/ontology/context-description/archivalRecordLocation,32079
316,https://w3id.org/italia/onto/CLV/hasSpatialCoverage,31680
317,http://dati.beniculturali.it/cis/isSiteOf,31657
318,https://w3id.org/arco/ontology/movable-property/hasCrystalMorphology,31230
319,https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalMorphology,31230
320,https://w3id.org/italia/onto/CPV/hasBirthPlace,30791
321,https://w3id.org/arco/ontology/denotative-description/hasPhotoSize,30548
322,https://w3id.org/italia/onto/SM/isEmailOf,29949
323,https://w3id.org/italia/onto/SM/hasWebSite,29926
324,https://w3id.org/arco/ontology/location/hasTerritorialArea,29740
325,http://purl.org/dc/terms/modified,29440
326,https://w3id.org/italia/onto/l0/hasDescription,29293
327,http://dati.beniculturali.it/cis/isMemberOfColCultEnt,29292
328,http://purl.org/dc/terms/created,28747
329,https://w3id.org/arco/ontology/context-description/useConditions,28588
